Modelo,R2_train,R2_test,R2_cv_mean,R2_cv_std,MAE,RMSE,MAPE
XGBoost,0.8183837882022649,0.7659686260668918,0.7352165978269074,0.011669661043693583,221319.2695227024,311410.1659319082,21.199268138078946
GradientBoosting,0.7893363505521342,0.7601827190468258,0.7243820516374436,0.011044305079634689,225689.92855328682,315236.126286727,21.76862568058108
RandomForest,0.8793369470000829,0.7580349899001452,0.7359165616975822,0.010538023594702508,218824.0251330531,316644.5584057237,20.76697661956215
LinearRegression,0.6434696271594776,0.6640584205531476,0.6315184490857588,0.02002794068097745,275605.7361475333,373102.04090283235,27.003168941938167
Lasso,0.6434696237788173,0.6640561823413701,0.6315215909770325,0.020027144545511424,275604.60277193657,373103.28379749367,27.002822120665183
Ridge,0.6434684415228122,0.6640386422929153,0.631581965500273,0.020014017243002936,275578.74546594167,373113.0237657768,26.9957663204611
